,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
91,303797 (2005 SL29),17:50:24.53,-27:18:15.9,509.,6.E3,5751.,22.4,39.33,-1.549,267.6022083333333,-27.30441666666667,22.4,303797,2005 SL29,16.08,0.15,0.172895312,2.6536674,2459932.44400,339.17839,32.656314,4.4060865,2460600.5,16.08,303797,2005 SL29
92,306823 (2001 QQ330),17:49:01.13,-27:19:25.3,-586.,6.E3,5690.,23.3,59.73,-3.75,267.2547083333333,-27.323694444444445,23.3,306823,2001 QQ330,18.27,0.15,0.196054758,1.7761296,2460581.91577,7.2319521,0.01507235,5.2714598,2460600.5,18.27,306823,2001 QQ330
93,309928 (2009 FL42),17:50:42.36,-30:32:48.9,743.,-6.E3,5990.,21.7,49.98,-9.238,267.6765,-30.546916666666668,21.7,309928,2009 FL42,16.15,0.15,0.045209983,2.5227886,2460941.18177,34.325224,95.255291,13.892984,2460600.5,16.15,309928,2009 FL42
94,310805 (2002 TE271),17:48:38.50,-27:36:49.6,-883.,5.E3,4699.,21.9,60.57,-2.171,267.1604166666666,-27.61377777777778,21.9,310805,2002 TE271,16.77,0.15,0.225700304,2.0268578,2460154.85350,333.88563,356.70100,4.8861312,2460600.5,16.77,310805,2002 TE271
95,311641 (2006 RZ1),17:48:27.04,-28:12:20.1,-1.E3,2.E3,2692.,22.8,45.42,1.091,267.11266666666666,-28.205583333333333,22.8,311641,2006 RZ1,16.95,0.15,0.20320334,2.100607,2460381.80520,283.46497,99.802303,10.096748,2460600.5,16.95,311641,2006 RZ1
96,316870 (2000 QE174),17:49:16.12,-27:19:18.4,-389.,6.E3,5679.,22.8,55.39,-0.7947,267.3171666666666,-27.32177777777778,22.8,316870,2000 QE174,17.49,0.15,0.274681726,1.638762,2460549.04849,308.88124,66.037249,5.1907066,2460600.5,17.49,316870,2000 QE174
97,321443 (2009 QO56),17:50:32.75,-29:20:06.0,617.,-2.E3,1697.,21.3,58.64,-4.965,267.6364583333333,-29.334999999999997,21.3,321443,2009 QO56,16.15,0.15,0.160597802,2.3554917,2461325.64218,0.75355414,211.72653,7.4569703,2460600.5,16.15,321443,2009 QO56
98,322853 (2001 UG41),17:49:54.72,-29:48:55.8,118.,-3.E3,3314.,22.7,39.52,-7.493,267.47799999999995,-29.8155,22.7,322853,2001 UG41,16.58,0.15,0.173637961,2.2627604,2460604.74570,43.074028,27.579156,14.423002,2460600.5,16.58,322853,2001 UG41
99,324715 (2007 EG134),17:49:08.66,-28:37:54.3,-487.,950.,1068.,22.7,41.06,-3.595,267.2860833333333,-28.63175,22.7,324715,2007 EG134,16.61,0.15,0.127367966,2.4498932,2460581.57970,7.8617291,62.933782,6.5563352,2460600.5,16.61,324715,2007 EG134
100,324899 (2007 VU126),17:50:20.23,-28:13:21.7,453.,2.E3,2465.,22.8,49.62,-7.221,267.5842916666666,-28.222694444444443,22.8,324899,2007 VU126,17.40,0.15,0.168295231,1.9246291,2460978.34922,39.294518,65.923284,11.003604,2460600.5,17.40,324899,2007 VU126
101,325772 (2010 NH10),17:49:52.95,-27:00:55.8,94.5,7.E3,6769.,22.7,42.24,-4.811,267.470625,-27.0155,22.7,325772,2010 NH10,16.67,0.15,0.159253321,2.2795683,2460486.97960,45.463534,2.5991420,9.0605413,2460600.5,16.67,325772,2010 NH10
102,326894 (2003 WV25),17:49:37.09,-29:20:20.7,-114.,-2.E3,1601.,21.5,52.99,8.919,267.4045416666666,-29.33908333333333,21.5,326894,2003 WV25,16.37,0.15,0.193231346,1.9033431,2461150.26077,264.19932,238.00464,22.531488,2460600.5,16.37,326894,2003 WV25
103,328149 (2008 CY42),17:50:53.62,-28:29:28.8,891.,1.E3,1707.,22.7,59.4,-4.398,267.7234166666666,-28.491333333333333,22.7,328149,2008 CY42,17.67,0.15,0.046057878,2.2534635,2461173.62311,1.9662076,165.31318,6.5130303,2460600.5,17.67,328149,2008 CY42
104,336463 (2008 UT368),17:48:54.14,-28:02:19.2,-678.,3.E3,3159.,22.4,38.16,1.116,267.2255833333333,-28.038666666666668,22.4,336463,2008 UT368,16.03,0.15,0.104851474,2.7303624,2460531.07424,282.07967,158.65775,10.714183,2460600.5,16.03,336463,2008 UT368
105,340672 (2006 RJ42),17:48:31.32,-27:26:45.2,-978.,5.E3,5311.,22.2,41.09,-3.17,267.1305,-27.445888888888888,22.2,340672,2006 RJ42,16.03,0.15,0.07960485,2.9198376,2460909.08508,15.823174,133.12341,5.4702488,2460600.5,16.03,340672,2006 RJ42
106,341701 (2007 VO161),17:50:13.93,-27:21:19.3,370.,6.E3,5557.,22.4,42.87,-3.376,267.5580416666666,-27.35536111111111,22.4,341701,2007 VO161,16.32,0.15,0.016497877,3.055247,2460766.11031,22.817253,104.89696,5.8665591,2460600.5,16.32,341701,2007 VO161
107,342145 (2008 SQ131),17:49:15.44,-27:58:19.2,-398.,3.E3,3349.,22.3,55.09,-4.419,267.3143333333333,-27.971999999999998,22.3,342145,2008 SQ131,17.02,0.15,0.006440546,2.4956805,2460395.80790,11.450699,336.83874,6.293599,2460600.5,17.02,342145,2008 SQ131
108,345093 (2005 MO29),17:49:59.08,-27:50:33.2,175.,4.E3,3795.,21.4,46.37,2.521,267.4961666666666,-27.842555555555553,21.4,345093,2005 MO29,15.55,0.15,0.088965658,2.883087,2461254.83799,277.54057,292.60079,11.33474,2460600.5,15.55,345093,2005 MO29
109,345636 (2006 SJ349),17:50:32.06,-29:26:37.3,608.,-2.E3,2064.,22.8,33.37,-4.902,267.63358333333326,-29.443694444444446,22.8,345636,2006 SJ349,16.07,0.15,0.225178495,2.4311319,2460234.17910,37.209422,14.861510,10.898408,2460600.5,16.07,345636,2006 SJ349
110,347668 (2001 UR8),17:50:45.94,-27:00:49.2,790.,7.E3,6822.,22.4,35.09,-4.341,267.6914166666666,-27.013666666666666,22.4,347668,2001 UR8,15.80,0.15,0.159449369,2.6201415,2460375.65040,51.551862,14.203383,10.204902,2460600.5,15.80,347668,2001 UR8
111,348609 (2005 XL111),17:48:49.06,-27:35:27.5,-745.,5.E3,4756.,21.9,58.65,-2.651,267.20441666666665,-27.59097222222222,21.9,348609,2005 XL111,16.76,0.15,0.089321091,2.3024745,2460227.52060,343.45149,333.68797,4.8738715,2460600.5,16.76,348609,2005 XL111
112,348920 (2006 TW25),17:51:13.26,-30:03:16.5,1.E3,-4.E3,4326.,23.1,32.09,-4.572,267.80525,-30.054583333333333,23.1,348920,2006 TW25,16.27,0.15,0.289449778,2.23193,2460167.78300,30.796100,17.379184,10.450694,2460600.5,16.27,348920,2006 TW25
113,350508 (1999 XT226),17:50:34.85,-27:11:55.0,645.,6.E3,6144.,22.7,57.18,0.2459,267.6452083333333,-27.198611111111113,22.7,350508,1999 XT226,17.54,0.15,0.098336479,1.9663235,2460801.32031,295.81330,116.27875,5.9016678,2460600.5,17.54,350508,1999 XT226
114,351356 (2005 BJ23),17:48:11.89,-28:24:34.7,-1.E3,2.E3,2142.,22.6,54.04,-2.731,267.04954166666664,-28.40963888888889,22.6,351356,2005 BJ23,17.31,0.15,0.159825831,2.1887037,2461171.17536,334.55082,190.21030,5.7956693,2460600.5,17.31,351356,2005 BJ23
115,351403 (2005 ES253),17:50:17.97,-29:55:01.7,423.,-4.E3,3702.,22.2,53.77,-2.783,267.5748749999999,-29.91713888888889,22.2,351403,2005 ES253,16.90,0.15,0.129606714,2.2727179,2461158.44996,328.85129,197.26168,7.6395911,2460600.5,16.90,351403,2005 ES253
116,352618 (2008 FQ1),17:49:56.18,-27:30:12.1,137.,5.E3,5014.,22.0,42.78,-1.271,267.48408333333333,-27.50336111111111,22.0,352618,2008 FQ1,15.91,0.15,0.061428948,3.035198,2459749.05520,324.29105,6.6599996,4.8882897,2460600.5,15.91,352618,2008 FQ1
117,353244 (2010 CF146),17:49:40.62,-27:58:37.0,-67.5,3.E3,3308.,22.1,74.64,-2.37,267.41925,-27.97694444444444,22.1,353244,2010 CF146,17.73,0.15,0.133578028,1.9169462,2460180.34130,328.62368,247.27356,5.4057473,2460600.5,17.73,353244,2010 CF146
118,356495 (2011 SE22),17:49:15.89,-27:48:43.0,-392.,4.E3,3921.,23.1,39.45,0.3677,267.3162083333333,-27.811944444444446,23.1,356495,2011 SE22,16.75,0.15,0.252782277,2.3458115,2459937.83260,289.29962,83.173020,8.4090925,2460600.5,16.75,356495,2011 SE22
119,357259 (2002 QX51),17:49:58.22,-30:13:10.0,164.,-5.E3,4768.,22.9,44.1,-3.353,267.4925833333333,-30.21944444444444,22.9,357259,2002 QX51,16.96,0.15,0.156707291,2.2157363,2460534.63310,341.98630,65.743622,7.7615776,2460600.5,16.96,357259,2002 QX51
120,359666 (2011 SN91),17:50:17.59,-28:23:52.8,418.,2.E3,1840.,22.4,48.22,-3.172,267.57329166666665,-28.398,22.4,359666,2011 SN91,16.69,0.15,0.16067224,2.1806492,2460408.37100,356.41233,24.264182,5.9352411,2460600.5,16.69,359666,2011 SN91
121,367722 (2010 TY187),17:50:14.50,-29:20:03.6,377.,-2.E3,1624.,22.4,71.61,-2.504,267.56041666666664,-29.334333333333333,22.4,367722,2010 TY187,17.77,0.15,0.123044507,2.0198976,2460277.13650,326.35413,315.17969,7.0294881,2460600.5,17.77,367722,2010 TY187
122,369959 (1994 RW8),17:48:31.84,-30:24:47.2,-971.,-5.E3,5547.,22.2,48.51,-4.35,267.13266666666664,-30.41311111111111,22.2,369959,1994 RW8,16.50,0.15,0.076264613,2.6358971,2460101.06680,351.23526,351.91205,8.1527402,2460600.5,16.50,369959,1994 RW8
123,373398 (1995 SY9),17:50:23.92,-28:13:18.8,501.,2.E3,2477.,23.3,61.36,-3.843,267.5996666666666,-28.221888888888888,23.3,373398,1995 SY9,18.28,0.15,0.197011744,1.8798606,2460432.22520,358.74835,350.99798,6.0202145,2460600.5,18.28,373398,1995 SY9
124,373867 (2003 SG33),17:48:24.65,-28:12:06.2,-1.E3,2.E3,2717.,22.8,44.42,-3.793,267.10270833333334,-28.201722222222223,22.8,373867,2003 SG33,16.79,0.15,0.127843253,2.5274834,2460178.53920,12.957630,357.85704,6.3852236,2460600.5,16.79,373867,2003 SG33
125,380413 (2003 AS76),17:48:23.61,-30:40:54.0,-1.E3,-6.E3,6518.,22.7,33.33,-5.121,267.098375,-30.68166666666667,22.7,380413,2003 AS76,16.05,0.15,0.222598722,2.4388194,2460704.89304,21.959312,84.757537,10.24091,2460600.5,16.05,380413,2003 AS76
126,380425 (2003 FQ76),17:50:51.88,-29:10:51.7,868.,-1.E3,1345.,22.1,58.6,-3.121,267.71616666666665,-29.18102777777778,22.1,380425,2003 FQ76,17.05,0.15,0.128173654,2.1564211,2461212.41093,337.14515,196.38588,6.7228003,2460600.5,17.05,380425,2003 FQ76
127,383016 (2005 ME39),17:48:24.01,-27:05:06.1,-1.E3,7.E3,6607.,22.2,70.01,-0.944,267.10004166666664,-27.08502777777778,22.2,383016,2005 ME39,17.43,0.15,0.249293286,1.7854729,2460313.29610,312.63915,13.511859,4.6393434,2460600.5,17.43,383016,2005 ME39
128,393000 (2012 XK120),17:49:50.48,-27:36:44.3,62.0,5.E3,4620.,22.7,48.36,-2.034,267.4603333333333,-27.612305555555558,22.7,393000,2012 XK120,17.07,0.15,0.135837483,2.2083258,2460490.29280,338.49715,51.226331,4.8208456,2460600.5,17.07,393000,2012 XK120
129,396011 (2013 BZ66),17:48:48.00,-30:24:22.3,-759.,-5.E3,5490.,22.7,51.32,-6.868,267.19999999999993,-30.40619444444444,22.7,396011,2013 BZ66,17.26,0.15,0.058225893,2.4511037,2461024.08991,15.416938,127.71108,9.9638238,2460600.5,17.26,396011,2013 BZ66
130,398987 (2013 ES92),17:50:44.91,-28:18:09.7,777.,2.E3,2272.,21.2,62.16,4.383,267.6871249999999,-28.302694444444445,21.2,398987,2013 ES92,16.21,0.15,0.139317766,2.306482,2459828.84600,275.29417,325.75494,11.874625,2460600.5,16.21,398987,2013 ES92
131,401397 (2013 CR49),17:51:15.37,-26:58:36.6,1.E3,7.E3,7009.,23.3,45.21,-2.379,267.81404166666664,-26.97683333333333,23.3,401397,2013 CR49,17.45,0.15,0.142643396,2.226837,2460567.40096,5.7961685,44.588218,4.4608948,2460600.5,17.45,401397,2013 CR49
132,403661 (2010 TL105),17:50:27.27,-28:15:17.0,545.,2.E3,2371.,22.8,49.78,-2.971,267.61362499999996,-28.254722222222224,22.8,403661,2010 TL105,17.15,0.15,0.03673299,2.6165347,2460343.43750,352.20058,18.168274,5.6794968,2460600.5,17.15,403661,2010 TL105
133,408105 (2013 AU133),17:49:18.50,-27:33:53.3,-358.,5.E3,4804.,23.4,68.02,-0.06459,267.3270833333333,-27.564805555555555,23.4,408105,2013 AU133,18.82,0.15,0.094117559,1.7269129,2460872.79515,299.17112,93.973466,5.9322917,2460600.5,18.82,408105,2013 AU133
134,408284 (2013 GG9),17:49:33.70,-29:04:37.3,-158.,-653.,672.0,21.8,66.14,-5.534,267.3904166666666,-29.07702777777778,21.8,408284,2013 GG9,16.86,0.15,0.176089179,2.2227699,2459910.69790,3.6418294,267.71152,7.4454927,2460600.5,16.86,408284,2013 GG9
135,409283 (2004 RT225),17:51:13.09,-28:09:12.2,1.E3,3.E3,2909.,22.7,70.61,-4.961,267.80454166666664,-28.153388888888887,22.7,409283,2004 RT225,18.05,0.15,0.197687233,1.7817351,2460457.26660,7.4136505,324.31924,6.5975667,2460600.5,18.05,409283,2004 RT225
136,414051 (2007 RC213),17:49:06.18,-28:58:28.8,-520.,-285.,592.4,23.0,56.22,-3.217,267.27574999999996,-28.974666666666664,23.0,414051,2007 RC213,17.77,0.15,0.111527111,2.0072652,2460669.33814,339.66268,49.886011,6.4559967,2460600.5,17.77,414051,2007 RC213
137,419793 (2010 VD217),17:49:47.04,-29:10:09.9,16.8,-986.,985.8,22.8,55.62,-3.648,267.44599999999997,-29.169416666666667,22.8,419793,2010 VD217,17.56,0.15,0.063640931,2.1876158,2460963.47027,344.99763,123.72196,6.7327849,2460600.5,17.56,419793,2010 VD217
138,423869 (2006 RY31),17:48:43.04,-28:19:17.5,-824.,2.E3,2226.,23.7,48.74,-3.988,267.1793333333333,-28.321527777777778,23.7,423869,2006 RY31,18.16,0.15,0.14235613,2.0233831,2460837.05581,5.6296109,74.053365,6.2896067,2460600.5,18.16,423869,2006 RY31
139,427559 (2002 UG73),17:50:01.61,-29:14:12.2,208.,-1.E3,1245.,22.9,45.61,-6.306,267.5067083333333,-29.236722222222223,22.9,427559,2002 UG73,16.95,0.15,0.155169805,2.5281116,2459996.17710,33.197537,319.82703,10.583468,2460600.5,16.95,427559,2002 UG73
140,430123 (2013 TN28),17:49:01.24,-26:59:40.1,-585.,7.E3,6869.,22.9,52.84,-5.223,267.25516666666664,-26.994472222222225,22.9,430123,2013 TN28,17.52,0.15,0.067117742,2.2453419,2460888.40808,34.379857,62.403876,7.354015,2460600.5,17.52,430123,2013 TN28
141,433708 (2014 XV20),17:48:11.71,-28:50:43.0,-1.E3,181.,1249.,22.6,37.14,-3.401,267.04879166666666,-28.845277777777778,22.6,433708,2014 XV20,16.25,0.15,0.197571828,2.3620478,2460791.56302,3.5274292,105.90067,6.5405533,2460600.5,16.25,433708,2014 XV20
142,435555 (2008 QF38),17:50:01.50,-28:10:46.7,207.,3.E3,2586.,22.6,63.68,-4.809,267.50624999999997,-28.17963888888889,22.6,435555,2008 QF38,17.65,0.15,0.099982969,2.2245295,2460169.63340,7.4788184,281.80858,6.4842984,2460600.5,17.65,435555,2008 QF38
143,438094 (2004 XP102),17:51:16.01,-29:09:35.2,1.E3,-951.,1518.,22.7,45.81,-1.829,267.81670833333334,-29.159777777777776,22.7,438094,2004 XP102,16.86,0.15,0.180586217,2.0758415,2460539.86739,323.38107,77.242008,6.9144196,2460600.5,16.86,438094,2004 XP102
144,450373 (2005 GL60),17:50:26.80,-27:56:54.2,539.,3.E3,3453.,21.6,68.1,-12.69,267.6116666666666,-27.94838888888889,21.6,450373,2005 GL60,16.91,0.15,0.195652439,2.1262681,2459845.39080,43.891491,190.18922,14.437059,2460600.5,16.91,450373,2005 GL60
145,455241 (2001 SY212),17:49:28.72,-27:49:12.6,-224.,4.E3,3878.,23.5,45.43,-3.743,267.36966666666666,-27.820166666666665,23.5,455241,2001 SY212,17.66,0.15,0.228853926,2.0773977,2460302.74940,18.938682,359.78426,6.3396949,2460600.5,17.66,455241,2001 SY212
146,455865 (2005 UQ71),17:49:24.81,-30:32:37.9,-275.,-6.E3,5940.,22.3,53.99,-3.443,267.35337499999997,-30.543861111111113,22.3,455865,2005 UQ71,16.85,0.15,0.20513385,2.1725737,2460117.74340,336.10513,5.7523995,8.2288872,2460600.5,16.85,455865,2005 UQ71
147,456108 (2006 BY274),17:48:31.24,-28:30:13.8,-979.,1.E3,1718.,23.5,61.43,-2.421,267.13016666666664,-28.503833333333333,23.5,456108,2006 BY274,18.61,0.15,0.082424442,2.0606965,2461169.08519,326.19909,187.59778,6.028859,2460600.5,18.61,456108,2006 BY274
148,460931 (2014 WA232),17:48:16.37,-30:06:06.9,-1.E3,-4.E3,4497.,22.3,44.35,-9.235,267.0682083333333,-30.101916666666668,22.3,460931,2014 WA232,16.36,0.15,0.185847658,2.2665211,2460248.18030,43.673412,332.35615,16.141765,2460600.5,16.36,460931,2014 WA232
149,462224 (2007 XL24),17:49:38.60,-30:31:02.1,-94.1,-6.E3,5839.,22.4,65.43,7.894,267.4108333333333,-30.51725,22.4,462224,2007 XL24,17.85,0.15,0.096473357,1.6938056,2460944.66717,268.69868,141.91375,19.17889,2460600.5,17.85,462224,2007 XL24
150,466658 (2014 WJ96),17:50:10.28,-28:11:32.5,322.,3.E3,2552.,22.8,40.3,-5.235,267.5428333333333,-28.19236111111111,22.8,466658,2014 WJ96,16.68,0.15,0.178680501,2.4560411,2460923.80378,37.921150,95.811909,9.4578725,2460600.5,16.68,466658,2014 WJ96
151,468970 (2015 AM67),17:48:40.07,-27:41:20.1,-863.,4.E3,4430.,21.9,50.87,1.891,267.16695833333335,-27.688916666666668,21.9,468970,2015 AM67,16.30,0.15,0.080123622,2.7395801,2461437.41194,280.71929,325.54402,9.4773647,2460600.5,16.30,468970,2015 AM67
152,469150 (2015 FD343),17:48:39.05,-27:23:06.4,-876.,5.E3,5509.,21.7,45.54,-6.104,267.1627083333333,-27.38511111111111,21.7,469150,2015 FD343,15.73,0.15,0.075161436,2.8906941,2459747.42970,45.617705,269.79017,10.323851,2460600.5,15.73,469150,2015 FD343
153,471002 (2009 SN170),17:50:36.81,-28:50:47.1,670.,177.,693.6,23.0,50.5,-0.7828,267.6533749999999,-28.846416666666666,23.0,471002,2009 SN170,17.54,0.15,0.107779735,2.1460173,2460711.49537,306.54150,110.70408,7.4732159,2460600.5,17.54,471002,2009 SN170
154,485808 (2012 DR42),17:50:26.06,-30:02:28.4,529.,-4.E3,4158.,22.5,51.9,-3.601,267.6085833333333,-30.041222222222224,22.5,485808,2012 DR42,17.05,0.15,0.118441104,2.4632241,2461184.40018,341.52164,199.98972,7.6457314,2460600.5,17.05,485808,2012 DR42
155,489355 (2006 UD88),17:50:34.37,-29:48:11.6,638.,-3.E3,3329.,23.9,35.63,-4.851,267.64320833333323,-29.803222222222225,23.9,489355,2006 UD88,17.49,0.15,0.270333931,1.9797228,2460660.21043,26.468199,51.293757,9.7261953,2460600.5,17.49,489355,2006 UD88
156,489368 (2006 UT191),17:50:18.15,-30:00:48.9,425.,-4.E3,4047.,22.0,46.75,-3.262,267.57562499999995,-30.013583333333333,22.0,489368,2006 UT191,16.11,0.15,0.253964029,2.3038244,2459845.41890,344.56326,4.8859010,7.5416553,2460600.5,16.11,489368,2006 UT191
157,490335 (2009 CN25),17:48:59.37,-30:43:28.3,-609.,-7.E3,6612.,23.9,35.32,-3.365,267.247375,-30.724527777777777,23.9,490335,2009 CN25,17.38,0.15,0.16070554,2.5881877,2460519.30270,345.63747,96.071526,8.2108764,2460600.5,17.38,490335,2009 CN25
158,491455 (2012 FC79),17:50:45.10,-30:02:03.5,779.,-4.E3,4172.,23.3,45.16,-2.816,267.6879166666666,-30.03430555555556,23.3,491455,2012 FC79,17.48,0.15,0.083112979,2.5211953,2460787.36746,334.24756,128.69338,7.6250981,2460600.5,17.48,491455,2012 FC79
159,492864 (2014 QD369),17:49:10.56,-27:02:48.6,-462.,7.E3,6672.,22.7,53.23,-1.858,267.294,-27.046833333333336,22.7,492864,2014 QD369,17.25,0.15,0.104794734,2.4573759,2460094.30490,337.43527,349.31052,4.189146,2460600.5,17.25,492864,2014 QD369
160,502305 (2015 BQ149),17:49:40.63,-28:09:03.0,-67.3,3.E3,2682.,22.2,57.03,-2.956,267.41929166666665,-28.15083333333333,22.2,502305,2015 BQ149,16.83,0.15,0.168219904,2.5092465,2459656.82220,347.15185,293.11062,5.5322121,2460600.5,16.83,502305,2015 BQ149
161,506030 (2015 JC7),17:51:06.20,-27:01:10.0,1.E3,7.E3,6838.,22.5,46.39,1.4,267.77583333333337,-27.019444444444442,22.5,506030,2015 JC7,16.62,0.15,0.067234049,2.9705426,2461562.98525,283.26345,350.54366,7.8705791,2460600.5,16.62,506030,2015 JC7
162,509237 (2006 TE54),17:50:14.09,-30:36:45.0,372.,-6.E3,6192.,23.1,66.83,-18.14,267.5587083333333,-30.6125,23.1,509237,2006 TE54,18.55,0.15,0.07128241,1.7922688,2460881.20656,41.548139,358.21471,21.409813,2460600.5,18.55,509237,2006 TE54
163,512212 (2015 TE190),17:49:38.27,-27:38:23.0,-98.4,5.E3,4522.,22.8,57.13,-0.932,267.4094583333333,-27.639722222222222,22.8,512212,2015 TE190,17.46,0.15,0.217412701,2.0128301,2460244.58820,312.91572,32.083167,5.4179114,2460600.5,17.46,512212,2015 TE190
164,512413 (2016 PY77),17:48:25.07,-28:36:29.5,-1.E3,1.E3,1482.,22.1,65.68,-2.482,267.10445833333335,-28.608194444444447,22.1,512413,2016 PY77,17.28,0.15,0.103803367,2.1783366,2460172.71900,327.74859,311.76773,6.1229995,2460600.5,17.28,512413,2016 PY77
165,514471 (2016 UQ146),17:50:37.70,-28:10:29.9,682.,3.E3,2683.,22.5,47.46,0.8322,267.6570833333333,-28.174972222222223,22.5,514471,2016 UQ146,16.86,0.15,0.102074877,2.2742346,2460771.05260,288.43185,153.34454,8.8725051,2460600.5,16.86,514471,2016 UQ146
166,518689 (2008 WH13),17:49:12.78,-27:01:26.9,-433.,7.E3,6751.,22.6,64.94,-18.71,267.30325,-27.02413888888889,22.6,518689,2008 WH13,17.99,0.15,0.052523701,1.8743744,2460855.10421,54.301882,342.54975,23.955561,2460600.5,17.99,518689,2008 WH13
167,530143 (2011 AY40),17:50:54.60,-28:37:17.0,904.,987.,1339.,23.4,51.8,-1.369,267.72749999999996,-28.62138888888889,23.4,530143,2011 AY40,17.94,0.15,0.151129524,1.9999714,2460615.15450,316.65433,76.460469,6.5235042,2460600.5,17.94,530143,2011 AY40
168,532374 (2013 RS74),17:50:23.59,-29:12:27.1,497.,-1.E3,1228.,22.2,54.97,1.551,267.5982916666666,-29.207527777777777,22.2,532374,2013 RS74,16.82,0.15,0.158441334,2.3987924,2459938.20300,288.27630,26.370101,10.556416,2460600.5,16.82,532374,2013 RS74
169,538749 (2016 GN26),17:49:04.41,-27:48:03.9,-543.,4.E3,3978.,23.1,65.7,-4.176,267.268375,-27.801083333333334,23.1,538749,2016 GN26,18.37,0.15,0.07560409,2.1165553,2460061.28080,358.04724,206.55205,5.593645,2460600.5,18.37,538749,2016 GN26
170,540292 (2017 RK71),17:49:13.45,-28:58:07.6,-424.,-263.,499.3,22.3,64.43,-4.8,267.3060416666666,-28.968777777777778,22.3,540292,2017 RK71,17.51,0.15,0.058046399,2.1667738,2460055.45160,354.56117,213.04140,6.8838453,2460600.5,17.51,540292,2017 RK71
171,542345 (2013 CU34),17:49:04.44,-28:15:46.4,-543.,2.E3,2342.,22.4,39.43,-4.998,267.26849999999996,-28.262888888888888,22.4,542345,2013 CU34,16.24,0.15,0.332648142,1.7007127,2460492.60580,38.390008,5.6480922,9.7461431,2460600.5,16.24,542345,2013 CU34
172,544597 (2014 WL169),17:50:59.34,-28:30:32.5,966.,1.E3,1695.,22.2,52.21,-7.865,267.74724999999995,-28.509027777777778,22.2,544597,2014 WL169,16.73,0.15,0.069238139,2.5624512,2460072.69900,40.714307,279.65239,11.892316,2460600.5,16.73,544597,2014 WL169
173,544886 (2014 WF467),17:50:40.38,-30:10:11.1,717.,-5.E3,4642.,22.7,39.0,-0.5581,267.66824999999994,-30.16975,22.7,544886,2014 WF467,16.40,0.15,0.10951888,2.6682352,2460581.75745,300.52686,144.37788,10.3705,2460600.5,16.40,544886,2014 WF467
174,545113 (2014 YF51),17:51:01.17,-29:56:12.6,990.,-4.E3,3876.,22.7,70.76,9.14,267.75487499999997,-29.936833333333333,22.7,545113,2014 YF51,18.24,0.15,0.05988199,1.8614797,2460679.10797,267.49628,68.658395,18.23649,2460600.5,18.24,545113,2014 YF51
175,547821 (2010 VE230),17:50:02.43,-30:05:33.9,219.,-4.E3,4315.,22.7,49.46,-6.342,267.51012499999996,-30.09275,22.7,547821,2010 VE230,17.25,0.15,0.228990804,2.1495809,2461140.20430,14.545973,143.82082,9.3633063,2460600.5,17.25,547821,2010 VE230
176,552017 (2013 RM76),17:50:38.01,-28:44:51.0,686.,533.,869.3,22.7,82.15,-3.87,267.6583749999999,-28.747500000000002,22.7,552017,2013 RM76,18.40,0.15,0.206777621,1.8454762,2460201.03050,341.88740,280.41424,6.4210524,2460600.5,18.40,552017,2013 RM76
177,552060 (2013 SZ17),17:50:39.56,-29:01:31.2,706.,-467.,846.5,23.0,74.64,-6.992,267.66483333333326,-29.025333333333332,23.0,552060,2013 SZ17,18.47,0.15,0.159366984,1.9622196,2460241.28320,10.527392,269.23903,8.2479751,2460600.5,18.47,552060,2013 SZ17
178,552097 (2013 TA1),17:48:53.01,-27:18:43.2,-693.,6.E3,5744.,22.1,54.97,-10.55,267.220875,-27.312,22.1,552097,2013 TA1,16.72,0.15,0.145959876,2.4515613,2459873.98820,52.454816,249.63096,15.726408,2460600.5,16.72,552097,2013 TA1
